SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
ATULAUTO,EQ,414.9,53353151.15,127111
AUBANK,EQ,583,45509682.8,77873
AURIONPRO,EQ,208.7,14357789.7,67697
AUSOMENT,EQ,73.3,5740276.35,76586
AUTOAXLES,EQ,1669.2,13509115,8099
AUTOIND,EQ,92,3349608.55,36076
AUTOLITIND,EQ,75.7,2937099.95,37924
AVADHSUGAR,EQ,777.8,35443448,45315
AVANTIFEED,EQ,2342.35,151308684.6,64492
AVTNPL,EQ,42,6359973.85,149407
AXISCADES,EQ,174.15,20075417.4,115777
AXISGOLD,EQ,2702,1077960.2,399
AXISNIFTY,EQ,1055.46,115854.31,110
AYMSYNTEX,EQ,65.95,1931532.25,28992
BAFNAPHARM,EQ,28,2640402.4,93981
BAGFILMS,EQ,5.9,690664.9,116330
BAJAJCORP,EQ,489.75,4776924.2,9727
BAJAJELEC,EQ,505.55,173102819.6,345462
BAJAJHIND,EQ,13.2,21320005.75,1605212
BAJAJHLDNG,EQ,2738.1,27372825.4,9992
BALAJITELE,EQ,141.75,6241670.35,43805
BALAMINES,EQ,650.15,18217260.35,27813
BALKRISHNA,EQ,73.85,1417286.25,18958
BALKRISIND,EQ,1125.35,644217892.8,561346
BALLARPUR,EQ,13.75,16448869.35,1188607
BALMLAWRIE,EQ,232.8,12662676.15,53908
BALPHARMA,EQ,91.5,4042711.7,43908
BALRAMCHIN,EQ,116.65,188644603.4,1596326
BANARBEADS,EQ,63.5,227853.85,3514
BANARISUG,EQ,1769.25,486374.7,275
BANCOINDIA,EQ,226.45,11529289.8,50546
BANG,EQ,32.95,409636.9,12214
BANKBEES,EQ,2564.24,179253773,69882
BANKINDIA,EQ,130.45,795192447.7,6105039
BANSAL,SM,119.6,5354250,45000
BANSWRAS,EQ,115.35,576556.85,4974
BARTRONICS,EQ,13.05,556225.1,42390
BASF,EQ,1991.85,27987643,13828
BASML,EQ,282.5,454182.85,1598
BATAINDIA,EQ,700.25,439124789,614759
BAYERCROP,EQ,3882.9,37532556.8,9670
BBL,EQ,1424.15,26705966.95,18428
BBTC,EQ,1522.45,696717434.1,463471
BCONCEPTS,SM,55,1527000,27000
BEARDSELL,EQ,58.9,795121.8,13042
BEDMUTHA,EQ,24.6,1075383.55,42940
BEML,EQ,1268.35,638980858.5,496911
BEPL,EQ,171.8,125773398.6,735680
BERGEPAINT,EQ,247.4,142744210.2,581934
BETA,SM,151.25,992400,6400
BFINVEST,EQ,341.85,51843720.15,150526
BFUTILITIE,EQ,451.05,267768554.2,582497
BGLOBAL,BE,5.45,118977,22263
BGRENERGY,EQ,120.55,7850219.1,64412
BHAGERIA,EQ,297.6,4772740.75,15989
BHAGYANGR,EQ,46,3203525.3,68653
BHAGYAPROP,EQ,21.55,5360,250
BHANDARI,EQ,3.65,783001.75,208924
BHARATFIN,EQ,1005.85,782939689.3,769107
BHARATFORG,EQ,742.25,585668578.4,785849
BHARATGEAR,EQ,197.8,8265972.5,42016
BHARATIDIL,BZ,7.8,474825.1,60840
BHARATIWIN,EQ,36.45,24847202.03,678731
BHARATRAS,EQ,4599,6124718.6,1311
BHARATWIRE,EQ,121.4,8470803.65,69742
BHUSANSTL,EQ,44.95,158955725,3465088
BIGBLOC,EQ,138.15,11766747.8,83471
BIL,EQ,419.3,1868072.1,4329
BILENERGY,EQ,1.6,14275.2,8922
BILPOWER,EQ,1.45,24074.35,16603
BINANIIND,EQ,106.5,5870860.3,54092
BINDALAGRO,EQ,30.1,1018656.5,33614
BIOCON,EQ,606.9,1370955440,2240692
BIOFILCHEM,BE,17.3,232538.2,13378
BIRLACABLE,EQ,64.6,1480663.35,23002
BIRLACORPN,EQ,967.55,18667703.4,19059
BIRLAMONEY,EQ,76,7048338.55,92200
BKMINDST,EQ,36.65,2367930.2,64047
BLBLIMITED,EQ,6.4,17519.5,2700
BLISSGVS,EQ,200.6,28468937.4,141972
BLKASHYAP,EQ,48.6,13677562.15,274750
BLS,EQ,188.55,34584427.2,181852
BLUEBLENDS,EQ,29.4,118599.2,4079
BLUECOAST,EQ,125.3,4256.55,34
BLUEDART,EQ,4512.3,11709058.5,2597
BLUEDART,N3,10.42,1125.36,108
BLUEDART,N2,10.68,532846.89,49203
BLUESTARCO,EQ,727.05,11592140.25,15868
BODALCHEM,EQ,145.95,17645277.2,120034
BOHRA,SM,34,68000,2000
BOMDYEING,EQ,274,2490223802,8810992
BPL,EQ,94.05,43255527,453140
BRFL,EQ,68.6,9918580.65,143066
BRIGADE,EQ,285.15,36923955.65,128592
BRNL,EQ,179.9,2335358,13015
BROOKS,EQ,97,5586755.2,56570
BSE,EQ,811.7,94231271,116012
BSELINFRA,EQ,5,440344.15,89300
BSL,EQ,82.8,450349.2,5439
BSLGOLDETF,EQ,2860,186866,66
BSLIMITED,EQ,1.4,43787.8,31277
BSLNIFTY,EQ,114.99,12997.4,114
BURNPUR,EQ,11.1,1302424.75,116047
BUTTERFLY,EQ,517,18281552.8,34757
BVCL,BE,33.2,839547.75,24566
BYKE,EQ,177.1,24607665,134662
CADSYS,SM,99,1597600,16000
CALSOFT,EQ,66.4,1132157.6,16564
CAMLINFINE,EQ,113.65,55948088.15,482247
CANBK,EQ,307.45,985178197.3,3199483
CANDC,EQ,68.7,4049434.1,59265
CANFINHOME,EQ,503,862376226.2,1697412
CANTABIL,EQ,132.5,11716996.5,86643
CAPACITE,EQ,335,42788977.2,126793
CAPF,EQ,686.8,288831637.8,421641
CAPLIPOINT,EQ,649.05,17884844.15,27536
CAPTRUST,EQ,489.4,10163197.85,20979
CARBORUNIV,EQ,350.8,37810755.75,108007
CAREERP,EQ,127.05,9273899.5,71733
CARERATING,EQ,1368.95,41626302.6,30108
CASTEXTECH,EQ,5.05,2864990.55,565313
CASTROLIND,EQ,195.05,149938138.2,767006
CCCL,EQ,6.65,210676,31609
CCHHL,EQ,14.15,4964052.25,351205
CCL,EQ,282.65,9505048.2,33532
CDSL,EQ,319.55,89197387.75,278627
CEATLTD,EQ,1627.4,1472686157,892246
CEBBCO,EQ,17.9,472441.35,26624
CELEBRITY,EQ,18.25,2161509.55,115690
CELESTIAL,EQ,17.9,908962.7,50608
CENTENKA,EQ,343.25,21956080.95,63158
CENTEXT,EQ,7.05,2816449.85,396231
CENTRALBK,EQ,67,20259126.95,300864
CENTUM,EQ,613.85,2637840.7,4306
CENTURYPLY,EQ,319.75,50285911.45,155992
CENTURYTEX,EQ,1195.85,1165364640,967047
CERA,EQ,3387.25,35994186.9,10535
CEREBRAINT,EQ,60.6,103802509.1,1710310
CESC,EQ,1001.7,397576421.3,396693
CGCL,EQ,105,4072236.65,38274
CGPOWER,EQ,84.4,309663908.2,3635709
CHAMBLFERT,EQ,156.15,41881987.5,267496
CHENNPETRO,EQ,368.3,149242374.2,401716
CHOLAFIN,EQ,1352.1,138471501.6,100836
CHROMATIC,EQ,2.5,38225,15290
CIGNITITEC,BE,268.7,5661183.25,21017
CIMMCO,EQ,97.65,1416085.15,14418
CINELINE,EQ,85.2,3756502.4,43773
CINEVISTA,EQ,11.75,34639.8,2899
CKPPRODUCT,SM,85,3379050,39000
CLEDUCATE,EQ,250.35,859603.35,3441
CLNINDIA,EQ,594.85,13433515.9,22510
CMICABLES,EQ,250.35,23251875.7,92026
CMMIPL,SM,78.5,235500,3000
CNOVAPETRO,EQ,33.8,9353,280
COCHINSHIP,EQ,530.55,57416482.8,108099
COFFEEDAY,EQ,323.8,39956295.75,122741
COMPINFO,EQ,52.75,35271870.15,674147
COMPUSOFT,EQ,13.35,379554,28109
CONSOFINVT,EQ,72.25,370178.9,5112
CONTROLPR,EQ,451.5,6761185.75,15010
CORALFINAC,EQ,37.7,1540113,40803
CORDSCABLE,EQ,102.25,2180850.7,21200
COROMANDEL,EQ,525.15,49329416.3,94481
CORPBANK,EQ,33.05,9063544.3,271192
COSMOFILMS,EQ,300,14163170.15,47390
COUNCODOS,EQ,4,20707.75,5348
COX&KINGS,EQ,244.05,32609378.35,132085
CPSEETF,EQ,29.9,54600299.34,1824575
CREST,EQ,238.85,2106778,8840
CRISIL,EQ,2001.6,53220936.15,26634
CRMFGETF,EQ,2865,572975,200
CROMPTON,EQ,227.75,169497619.6,743035
CTE,EQ,77.85,27714.6,356
CUB,EQ,173.2,127479009.8,742090
CUBEXTUB,BE,24.25,35127.5,1476
CUPID,EQ,279.9,9281456,33147
CYBERMEDIA,BE,16,9568,598
CYBERTECH,EQ,72.95,2379884.3,32759
CYIENT,EQ,610.25,74487586.35,120778
DAAWAT,EQ,99.95,172566333.6,1726580
DALMIABHA,EQ,2800.7,250798847.2,87621
DALMIASUG,EQ,105.8,11386971.4,107058
DAMODARIND,EQ,142.2,6695574.05,46788
DATAMATICS,EQ,127.4,17021825.8,131429
DBCORP,EQ,324.95,12445365.85,38326
DBL,EQ,957.75,327167775.7,339999
DBREALTY,EQ,55.1,45027708.05,824643
DBSTOCKBRO,EQ,10.2,10.2,1
DCAL,EQ,338.2,29524738.65,87253
DCBBANK,EQ,164.25,298073323.4,1802939
DCM,EQ,99.05,2748217.8,27953
DCMSHRIRAM,EQ,528.95,39200353.5,73006
DCW,EQ,37.05,15940805.85,432360
DECCANCE,EQ,591.85,3909676.35,6574
DEEPAKFERT,EQ,356.85,52098529.3,144609
DEEPAKNTR,EQ,259.15,68984350.7,264723
DEEPIND,EQ,197.05,9852348.5,49835
DELTACORP,EQ,362.6,1288836983,3468122
DELTAMAGNT,BE,64.9,100724.8,1552
DEN,EQ,105.55,30823234.05,288637
DENABANK,EQ,21.35,39515685.65,1843515
DENORA,BE,573.25,38983234.55,63005
DEVIT,SM,79,237000,3000
DFMFOODS,EQ,1741.55,2064099,1188
DHAMPURSUG,EQ,214.1,154223031.6,724915
DHANBANK,EQ,23.75,9518987.6,397519
DHANUKA,EQ,662.95,5957094.7,8921
DHARSUGAR,EQ,22.9,509898.55,22203
DHFL,EQ,541.3,1951463853,3580363
DHFL,NN,1030,113320,110
DHFL,NP,1057.9,107618.78,102
DHFL,NL,1030,15450,15
DHFL,N6,1026.61,1186719.5,1154
DHFL,NC,1064.01,983367.17,922
DHFL,N4,1018,2036,2
DHUNINV,EQ,411.8,827504.45,1996
DIAMONDYD,EQ,1221.2,19782846.4,16231
DIAPOWER,EQ,14.95,4964828.75,325672
DICIND,EQ,520.45,7835175.25,15145
DIGJAMLTD,EQ,12.8,1523766.55,116929
DISHTV,EQ,72.4,241780548.2,3328255
DIVISLAB,EQ,1045.65,666745544,632838
DIXON,EQ,3215.15,92040593.75,28397
DLINKINDIA,EQ,107.25,16170934.5,149700
DNAMEDIA,EQ,8.5,195719.75,23198
DOLLAR,EQ,426.45,3079308.55,7182
DOLPHINOFF,EQ,92.95,12825551.95,136679
DONEAR,EQ,64.85,1050293.55,15987
DPABHUSHAN,SM,74,4438200,60000
DPL,EQ,172.55,3705166.15,21473
DPSCLTD,EQ,29.75,382314.9,12751
DQE,EQ,15,784208,51804
DREDGECORP,EQ,706.1,104206806.1,146761
DSKULKARNI,EQ,17.05,412690.4,23989
DSSL,EQ,39.1,996304.6,24999
DTIL,EQ,343.35,2493445.1,7235
DUCON,EQ,35.75,3114272.7,86668
DWARKESH,EQ,40.45,43358357.9,1063454
DYNAMATECH,EQ,1702.35,7896385.65,4621
DYNPRO,EQ,202.75,7561249.35,37129
EASTSILK,EQ,5.05,114401.4,22773
EASUNREYRL,EQ,17.05,2639060.05,155650
EBANK,EQ,2662.32,331639.76,120
ECEIND,EQ,349.65,138099.15,390
ECLERX,EQ,1326.55,7957837.8,5968
ECLFINANCE,N3,1027.9,198594.16,193
ECLFINANCE,N5,1063,193662.16,182
ECLFINANCE,N7,1608,141504,88
EDELWEISS,EQ,261.4,478755047.9,1810229
EDL,BE,44.85,307499.6,6885
EDUCOMP,BZ,6.55,434222.4,66098
EHFLNCD,N7,1200,189600,158
EHFLNCD,N5,1061,351748.5,330
EHFLNCD,N6,1101.55,28664.95,26
EIDPARRY,EQ,321.2,20164826.75,62722
EIFFL,SM,143.7,1252400,8800
EIHAHOTELS,EQ,436.15,395047.7,897
EIHOTEL,EQ,177.15,12326992.5,69568
EIMCOELECO,EQ,484.7,706844.85,1441
EKC,EQ,56.05,24349842.95,427283
ELAND,EQ,16.1,399084.6,24531
ELECON,EQ,82.6,26224276.95,311979
ELECTCAST,EQ,32.6,13353537.95,399253
ELECTHERM,EQ,158.8,951135.55,5951
ELGIEQUIP,EQ,314.95,6988295.5,21998
ELGIRUBCO,EQ,44.8,2427873.15,53796
EMAMIINFRA,EQ,304.55,39444227.7,126490
EMCO,EQ,18.05,2762535.6,152061
EMKAY,EQ,218.05,31918167.1,145267
EMMBI,EQ,201.1,2531831.5,12544
ENDURANCE,EQ,1283.6,220278967.5,174035
ENERGYDEV,EQ,26.95,1460463.95,54134
ENGINERSIN,EQ,171.6,204619956.2,1194447
ENIL,EQ,697.25,4815443.3,6954
EON,EQ,96.2,1377606.65,14271
EQ30,EQ,251,55445.47,222
EQUITAS,EQ,145.4,251348116.1,1722435
ERIS,EQ,741.5,13885876.7,18651
EROSMEDIA,EQ,204.55,83488797.9,404882
ESABINDIA,EQ,807.25,2320881,2863
ESCORTS,EQ,877.65,810312835.9,926593
ESL,EQ,3.15,2620796.85,831999
ESSARSHPNG,EQ,26.3,678850.5,25692
ESSDEE,BE,64.95,764469.75,11670
ESSELPACK,EQ,288.3,37317560.85,128553
ESTER,EQ,61.7,5599212.5,90468
EUROCERA,EQ,7.75,334083.6,42915
EUROMULTI,EQ,2.45,12.25,5
EUROTEXIND,EQ,34.05,12804.6,374
EVEREADY,EQ,392.5,14441811.2,37068
EVERESTIND,EQ,550.75,10094378.1,18135
EXCEL,EQ,31.4,589752.05,18526
EXCELCROP,EQ,3418.6,33105683.95,9618
EXCELINDUS,EQ,837.1,25579523.7,30175
EXIDEIND,EQ,211.45,161796444.7,762041
FACT,EQ,46.1,6842858.4,145227
FAIRCHEM,EQ,408.05,3050239.9,7433
FCL,EQ,68.55,68769084.85,995556
FCONSUMER,EQ,60.9,390390130.6,6376046
FCSSOFT,BE,0.55,6969783.8,12118658
FDC,EQ,285.5,20746417.2,72397
FEDDERELEC,EQ,68.4,6075167.8,88196
FEDERALBNK,EQ,96.2,1034603026,10766835
FEL,EQ,43.5,48163032.4,1104850
FELDVR,EQ,41.55,624832.9,14809
FELIX,SM,31.3,377200,12000
FIEMIND,EQ,899.3,8132850.35,9053
FILATEX,EQ,208.7,10967293.95,51338
FINCABLES,EQ,707,111665610.7,155998
FINPIPE,EQ,633.25,129249081.7,201780
FLEXITUFF,EQ,72.95,2215724.4,30496
FLFL,EQ,368.55,17275912.6,46870
FMGOETZE,EQ,510,2680336.4,5234
FMNL,EQ,112.35,4128394.6,37000
FORTIS,EQ,137.5,13270297740,98426544
FORTUNEFIN,EQ,240.7,274810.8,1138
FOSECOIND,EQ,1691.05,2496020.35,1468
FOURTHDIM,SM,179.5,22486000,126000
FRETAIL,EQ,514.85,692439178.4,1329941
FSC,EQ,661.05,6031227.35,9051
FSL,EQ,46.95,458947539.8,9783404
GABRIEL,EQ,158,14888669.9,93197
GAEL,EQ,242.3,36247888.6,148978
GAL,BE,8.05,1293381.45,166697
GALAXYSURF,EQ,1623.45,134213359,82293
GALLANTT,BE,44.2,605786.95,13413
GALLISPAT,EQ,302.05,2216465.6,7268
GAMMNINFRA,EQ,3.25,18823632.05,5751660
GAMMONIND,BZ,5.5,627216,114472
GANDHITUBE,EQ,404.9,1146080.95,2839
GANECOS,EQ,353.2,3022903.7,8475
GANESHHOUC,EQ,148.25,31348713.35,207180
GANGESSECU,EQ,100.05,1728702.85,16888
GARDENSILK,EQ,40.6,4630012.55,111556
GARWALLROP,EQ,941,49468703.7,52918
GATI,EQ,113.6,70315420.85,615448
GAYAPROJ,EQ,217.7,107629907.3,491900
GDL,EQ,195.6,27988747.8,140903
GEECEE,EQ,145.85,2093755.9,14211
GEMINI,BE,1.65,112695.5,65571
GENESYS,EQ,283.7,12071697.25,42055
GENUSPAPER,EQ,14.6,5663207,382631
GENUSPOWER,EQ,69.6,12043489,172135
GEOJITFSL,EQ,94.9,26250955.35,274610
GEPIL,EQ,857.5,8137956.65,9440
GESHIP,EQ,390.1,21578080.35,55233
GET&D,EQ,419.95,36349183.65,87496
GHCL,EQ,298.8,58868760,195069
GICHSGFIN,EQ,401.55,47404033.95,117431
GICRE,EQ,770.45,33523226.35,43266
GILLANDERS,EQ,76.55,288140.3,3690
GILLETTE,EQ,6700.4,20547846.3,3066
GINNIFILA,EQ,35.1,9272634.3,261308
GIPCL,EQ,120.35,6876991.65,56960
GIRRESORTS,IT,252.5,5035000,20000
GITANJALI,EQ,37.45,215193543.9,5616530
GKWLIMITED,EQ,564.85,130954.05,231
GLOBALVECT,EQ,139.5,6307612.1,44163
GLOBOFFS,EQ,32.6,1331449.65,40970
GLOBUSSPR,EQ,134.8,8892412.25,64402
GMBREW,EQ,908.4,57932509.4,62902
GMDCLTD,EQ,143.8,18583973.4,127235
GMRINFRA,EQ,18.3,657409764.6,35450986
GNA,EQ,422.75,15682058.7,36950
